province,country,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Abruzzo,Italy,42.35122196,13.39843823,65237.0,2136.0,52969.0,10132.0,4973.924579514784,3.2742155525238745
Acre,Brazil,-9.0238,-70.812,69657.0,1262.0,54045.0,14350.0,7898.201114594613,1.811734642605912
Adygea Republic,Russia,44.6939006,40.1520421,14101.0,163.0,13365.0,573.0,3110.2219791078487,1.1559463867810793
Aguascalientes,Mexico,21.8853,-102.2916,24880.0,2154.0,0.0,22726.0,1734.2390224691298,8.657556270096464
Aichi,Japan,35.035551,137.211621,27394.0,583.0,25985.0,826.0,362.726868151286,2.1282032561874864
Akita,Japan,39.748679,140.408228,283.0,6.0,271.0,6.0,29.281213463150163,2.120141342756184
Alabama,United States,32.88428035358209,-86.71012237686567,7469.391304347826,152.95652173913044,,,10575.04131256362,2.472641841280754
Alagoas,Brazil,-9.5713,-36.782,153490.0,3554.0,144928.0,5008.0,4599.148368004981,2.315460290572676
Alaska,United States,60.347998391333334,-149.00727894000002,2029.0645161290322,10.096774193548388,0.0,279.5,6316.025739916579,0.4002523471843665
Alberta,Canada,53.9333,-116.5765,148332.0,1990.0,137992.0,8350.0,3338.6459545713487,1.3415850928997115
Altai Krai,Russia,52.6932243,82.69314240000001,47137.0,1832.0,42198.0,3107.0,2005.7615059912853,3.8865434796444407
Altai Republic,Russia,50.7114101,86.8572186,16655.0,191.0,16268.0,196.0,7637.701031353325,1.1468027619333534
Amapa,Brazil,0.902,-52.003,97542.0,1302.0,72132.0,24108.0,11533.454490848744,1.3348096204711817
Amazonas,Brazil,-3.4168,-65.8561,349123.0,12015.0,298476.0,38632.0,8423.569287918705,3.4414805097343915
Amazonas,Colombia,-1.4429,-71.5724,5858.0,219.0,5595.0,44.0,7648.617947747066,3.7384772960054624
Amazonas,Peru,-5.077253,-78.050172,23141.0,788.0,0.0,22353.0,5421.977507029053,3.4052115293202543
Amur Oblast,Russia,52.8032368,128.437295,21887.0,243.0,20674.0,970.0,2741.27531236536,1.1102480924749851
Ancash,Peru,-9.407125,-77.67179499999997,50871.0,4301.0,0.0,46570.0,4308.910723361003,8.454718798529614
Andalusia,Spain,37.5443,-4.7278,505796.0,9206.0,10671.0,485919.0,6001.800079621188,1.8201013847480008
Andaman and Nicobar Islands,India,11.225999,92.968178,5083.0,62.0,4976.0,45.0,1218.839620560335,1.21975211489278
Andhra Pradesh,India,15.9129,79.74,901989.0,7217.0,887434.0,7338.0,1673.3436427647514,0.8001206223135758
Anguilla,United Kingdom,18.2206,-63.0686,25.0,0.0,21.0,4.0,166.6444474070124,0.0
Anhui,China,31.8257,117.2264,994.0,6.0,988.0,0.0,1.6287826941871515,0.6036217303822937
Antioquia,Colombia,7.1986,-75.3412,374623.0,7016.0,354364.0,13243.0,5846.996036585651,1.8728161378238923
Antofagasta,Chile,-23.6509,-70.3975,43243.0,867.0,41196.0,1180.0,7117.790938449535,2.0049487778368755
Antwerp,Belgium,51.2195,4.4024,112081.0,0.0,0.0,112081.0,5994.5018799505815,0.0
Aomori,Japan,40.781541,140.828896,1031.0,20.0,870.0,141.0,82.72015314862108,1.939864209505335
Apurimac,Peru,-14.027713,-72.975378,13616.0,768.0,0.0,12848.0,3161.3652194102624,5.640423031727379
Aragon,Spain,41.5976,-0.9057,110894.0,3344.0,3772.0,103778.0,8397.332699271385,3.015492271899291
Arauca,Colombia,7.0762,-70.7105,5751.0,173.0,5450.0,128.0,2193.5813619962314,3.008172491740567
Araucania,Chile,-38.9489,-72.3311,54915.0,671.0,51266.0,2978.0,5736.90170743734,1.221888372939998
Arequipa,Peru,-15.843524,-72.475539,65386.0,5841.0,0.0,59545.0,4366.635501535996,8.933104946012907
Arica y Parinacota,Chile,-18.594,-69.4785,17399.0,350.0,16499.0,550.0,7696.356848381903,2.011609862635784
Arizona,United States,33.675903642,-111.46323212666667,49518.294117647056,998.0588235294117,,,11954.319909153844,2.4642835993377803
Arkansas,United States,34.911889390266666,-92.4339782684,4347.3421052631575,74.02631578947368,,,11034.658345119582,2.0207269939347503
Arkhangelsk Oblast,Russia,63.5589686,43.1221646,59687.0,825.0,55265.0,3597.0,5167.580353030403,1.3822105316065474
Aruba,Netherlands,12.5211,-69.9683,9443.0,86.0,8684.0,673.0,8844.575988610606,0.9107275230329344
Arunachal Pradesh,India,27.768456,96.384277,16845.0,56.0,16785.0,4.0,1072.6170327382204,0.3324428613831998
Assam,India,26.357149,92.830441,218412.0,1105.0,215445.0,1862.0,613.3955704657161,0.5059245828983755
Astrakhan Oblast,Russia,47.1878186,47.608851,30712.0,668.0,28814.0,1230.0,3018.336848436484,2.1750455847877053
Asturias,Spain,43.3614,-5.8593,47263.0,1891.0,1063.0,44309.0,4623.632245978058,4.001015593593297
Atacama,Chile,-27.5661,-70.0503,14282.0,170.0,13602.0,510.0,4942.826291599757,1.1903094804649208
Atlantico,Colombia,10.6966,-74.8741,151635.0,4494.0,137149.0,9992.0,5980.437125840607,2.9636957166880995
Australian Capital Territory,Australia,-35.4735,149.0124,123.0,3.0,120.0,0.0,28.73160476524177,2.4390243902439024
Ayacucho,Peru,-14.091648,-74.08344,22904.0,1390.0,0.0,21514.0,3427.7162526189763,6.068808941669578
Aysen,Chile,-45.9864,-73.7669,3531.0,28.0,3386.0,117.0,3422.9046705054384,0.7929764939110734
Azad Jammu and Kashmir,Pakistan,34.027401,73.947253,12805.0,355.0,10945.0,1505.0,316.53501809230613,2.772354549004296
Baden-Wurttemberg,Germany,48.6616,9.3501,365009.0,8704.0,329300.0,27005.0,3287.4681292326795,2.38459873592158
Bahia,Brazil,-12.5797,-41.7007,803664.0,15330.0,769689.0,18645.0,5403.486463851698,1.9075135877680225
Baja California,Mexico,30.8406,-115.2838,46404.0,7791.0,0.0,38613.0,1276.6350800084074,16.78950090509439
Baja California Sur,Mexico,26.0444,-111.6661,28334.0,1271.0,0.0,27063.0,3521.0287458307857,4.485776805251641
Baleares,Spain,39.710358,2.995148,57676.0,777.0,1533.0,55366.0,4853.983269091583,1.3471808031070116
Balochistan,Pakistan,28.328492,65.898403,19576.0,208.0,19106.0,262.0,158.58192632647916,1.0625255414793624
Bashkortostan Republic,Russia,54.8573563,57.1439682,32358.0,361.0,27452.0,4545.0,796.3491680270165,1.1156437357067803
Basilicata,Italy,40.63947052,15.80514834,19458.0,443.0,14241.0,4774.0,3456.932252442398,2.27669853016754
Bayern,Germany,48.7904,11.4979,500549.0,13264.0,451300.0,35985.0,3809.300068347602,2.6498904203184903
Beijing,China,40.1824,116.4142,1049.0,9.0,1037.0,3.0,4.791465071521409,0.8579599618684461
Belgorod Oblast,Russia,50.7080119,37.5837615,34282.0,562.0,32032.0,1688.0,2211.9188889949905,1.639344262295082
Berlin,Germany,52.52,13.405,146268.0,3055.0,134400.0,8813.0,3991.934691524876,2.088631826510241
Bermuda,United Kingdom,32.3078,-64.7505,1217.0,12.0,729.0,476.0,1954.2980103736768,0.9860312243221035
Bihar,India,25.679658,85.60484,265527.0,1576.0,262371.0,1580.0,212.76214538781056,0.5935366271603264
Biobio,Chile,-37.4464,-72.1416,95470.0,1557.0,89123.0,4790.0,6132.431486281198,1.6308788100974128
Blekinge,Sweden,56.2784,15.018,8956.0,120.0,0.0,8836.0,5611.317870255504,1.339883876730683
Bolivar,Colombia,8.6704,-74.03,69563.0,1409.0,67543.0,611.0,3360.3528314920463,2.025502062878254
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,196.0,3.0,180.0,13.0,747.492467869265,1.530612244897959
Boyaca,Colombia,5.4545,-73.362,48119.0,1154.0,46147.0,818.0,3952.681833714481,2.3982210769134853
Brandenburg,Germany,52.4125,12.5316,88464.0,3306.0,78140.0,7018.0,3495.121235239944,3.737113402061856
Bremen,Germany,53.0793,8.8017,20979.0,407.0,19040.0,1532.0,3084.5573640333464,1.9400352733686064
British Columbia,Canada,53.7267,-127.6476,100048.0,1458.0,91066.0,7524.0,1918.53770179326,1.457300495762034
British Virgin Islands,United Kingdom,18.4207,-64.64,153.0,1.0,131.0,21.0,506.0025796209941,0.6535947712418301
Brussels,Belgium,50.8503,4.3517,109550.0,0.0,0.0,109550.0,8992.37023447472,0.0
Bryansk Oblast,Russia,52.8873315,33.41585300000001,35646.0,284.0,34786.0,576.0,2943.5615062816787,0.7967233350165517
Buryatia Republic,Russia,52.7182426,109.492143,36006.0,785.0,34392.0,829.0,3657.2471003371215,2.180192190190524
C. Valenciana,Spain,39.484,-0.7533,385658.0,7112.0,9970.0,368576.0,7751.967901709539,1.8441209569100083
Cajamarca,Peru,-6.430284,-78.74559599999998,40289.0,2442.0,0.0,37847.0,2771.4796725596752,6.061207773834049
Calabria,Italy,38.90597598,16.59440194,46958.0,819.0,35814.0,10325.0,2411.6507826129828,1.74411175944461
Caldas,Colombia,5.2983,-75.2479,49624.0,1015.0,47206.0,1403.0,4971.074525046206,2.0453812671288087
California,United States,37.84396164603449,-120.72859416379309,63236.30508474576,985.1694915254237,,,7786.372067458499,1.1810144237562659
Callao,Peru,-11.954609,-77.136042,71037.0,7903.0,0.0,63134.0,6287.01655013718,11.125188282162815
Campania,Italy,40.83956555,14.25084984,337289.0,5363.0,238809.0,93117.0,5813.631609537356,1.5900311009253192
Campeche,Mexico,19.8301,-90.5349,8958.0,1126.0,0.0,7832.0,895.2476322109259,12.5697700379549
Canarias,Spain,28.2916,-16.6291,46880.0,676.0,1537.0,44667.0,2124.245718317224,1.4419795221843004
Cantabria,Spain,43.1828,-3.9878,26077.0,542.0,2287.0,23248.0,4483.349695086832,2.0784599455458834
Capital District,Colombia,4.711,-74.0721,687382.0,14409.0,660006.0,12967.0,9273.19905144858,2.0962143320599025
Caqueta,Colombia,0.8699,-73.8419,17185.0,649.0,16328.0,208.0,4280.316521747794,3.776549316264184
Casanare,Colombia,5.7589,-71.5724,13044.0,305.0,12466.0,273.0,3101.991895439758,2.338239803741184
Castilla - La Mancha,Spain,39.2796,-3.0977,175803.0,5757.0,6392.0,163654.0,8639.490249287795,3.274688145253494
Castilla y Leon,Spain,41.8357,-4.3976,212625.0,6626.0,8716.0,197283.0,8830.921036510277,3.116284538506761
Catalonia,Spain,41.5912,1.5209,536235.0,13335.0,26203.0,496697.0,7087.026895507274,2.486782847072645
Cauca,Colombia,2.705,-76.82600000000002,28124.0,775.0,26847.0,502.0,1920.3981186599003,2.755653534347888
Cayman Islands,United Kingdom,19.3133,-81.2546,500.0,2.0,476.0,22.0,760.8034083992696,0.4
Ceara,Brazil,-5.4984,-39.3206,539569.0,14149.0,380789.0,143488.0,5894.61675644908,2.6052338747280794
Cesar,Colombia,9.3373,-73.6536,43133.0,1239.0,41115.0,779.0,3592.69815938043,2.872510606728027
Ceuta,Spain,35.8894,-5.3213,5121.0,95.0,163.0,4863.0,6036.85060533544,1.85510642452646
Chandigarh,India,30.733839,76.76827800000002,26999.0,379.0,23702.0,2918.0,2330.567911379894,1.4037556946553575
Channel Islands,United Kingdom,49.3723,-2.3644,4049.0,86.0,3956.0,7.0,2374.793987061508,2.123981229933317
Chechen Republic,Russia,43.39761470000001,45.6985005,11657.0,116.0,11328.0,213.0,811.2146228794953,0.9951102341940464
Chelyabinsk Oblast,Russia,54.4223954,61.1865846,55396.0,1222.0,50488.0,3686.0,1585.898341729086,2.205935446602642
Cherkasy Oblast,Ukraine,49.4444,32.0598,57393.0,759.0,49607.0,7027.0,4757.570557822724,1.3224609272907846
Chernihiv Oblast,Ukraine,51.4982,31.2893,41884.0,862.0,33677.0,7345.0,4164.475090604477,2.05806513227008
Chernivtsi Oblast,Ukraine,48.2917,25.9352,69844.0,1360.0,49629.0,18855.0,7722.9110965153795,1.94719660958708
Chhattisgarh,India,21.264705,82.035366,349187.0,4170.0,319488.0,25529.0,1186.2490140126974,1.194202533313096
Chiapas,Mexico,16.7569,-93.1292,10447.0,1484.0,0.0,8963.0,182.3094402156092,14.205034938259788
Chiba,Japan,35.510141,140.198917,29698.0,568.0,27828.0,1302.0,474.4557849321227,1.9125867061755
Chihuahua,Mexico,28.633000000000006,-106.0691,46333.0,5589.0,0.0,40744.0,1218.8125330956018,12.062676709904387
Choco,Colombia,5.2528,-76.82600000000002,6706.0,204.0,6406.0,96.0,1253.865743251076,3.0420518938264243
Chongqing,China,30.0572,107.874,591.0,6.0,585.0,0.0,1.8437545031207965,1.015228426395939
Chukotka Autonomous Okrug,Russia,66.0006475,169.4900869,733.0,5.0,691.0,37.0,1485.369214557834,0.6821282401091405
Chuvashia Republic,Russia,55.4259922,47.0849429,22792.0,1219.0,20796.0,777.0,1851.3268844472127,5.3483678483678485
Ciudad de Mexico,Mexico,19.4326,-99.1332,608872.0,30534.0,0.0,578338.0,6751.258088105253,5.014847127146592
Coahuila,Mexico,27.0587,-101.7068,66715.0,5869.0,0.0,60846.0,2072.718347666153,8.797122086487297
Colima,Mexico,19.1223,-104.0072,10820.0,1142.0,0.0,9678.0,1378.075356013414,10.554528650646953
Colorado,United States,38.93547446765625,-105.486239959375,7001.227272727273,92.53030303030303,,,8365.7409688725,1.362664188111779
Connecticut,United States,41.61368014,-72.65682967875,34513.77777777778,876.5555555555555,,,7955.352433098626,2.2429367622613774
Cook Islands,New Zealand,-21.2367,-159.7777,0.0,0.0,0.0,0.0,0.0,
Coquimbo,Chile,-29.959,-71.3389,26875.0,508.0,25259.0,1108.0,3547.4520384484404,1.890232558139535
Cordoba,Colombia,8.0493,-75.574,43023.0,2010.0,39770.0,1243.0,2410.545147505327,4.671919670873718
Crimea Republic*,Ukraine,45.2835,34.2008,37633.0,1069.0,35253.0,1311.0,1966.47282193788,2.840592033587543
Cundinamarca,Colombia,5.026,-74.03,110923.0,3066.0,106522.0,1335.0,3799.956150267552,2.764079586740352
Curacao,Netherlands,12.1696,-68.99,8404.0,35.0,5267.0,3102.0,5121.267519804997,0.4164683484055211
Cusco,Peru,-13.191068,-72.153609,43298.0,2833.0,0.0,40465.0,3190.479699358927,6.54302739156543
Dadra and Nagar Haveli and Daman and Diu,India,20.194742,73.080901,3661.0,2.0,3482.0,177.0,594.5845866004898,0.0546298825457525
Dagestan Republic,Russia,43.05749160000001,47.1332224,31050.0,1410.0,28719.0,921.0,1013.4192373408272,4.541062801932367
Dalarna,Sweden,61.0917,14.6664,18657.0,310.0,0.0,18347.0,6478.8898689428615,1.6615747440638902
Delaware,United States,39.10927682333334,-75.53323745666667,23700.5,389.75,,,9542.579826120384,1.353835178051714
Delhi,India,28.646519,77.10898,662430.0,11027.0,642565.0,8838.0,3540.3386321636103,1.6646287154869193
Diamond Princess,Canada,,,0.0,1.0,0.0,0.0,,
Diamond Princess,United States,,,49.0,0.0,,,,0.0
District of Columbia,United States,38.90417773,-77.01655992,44513.0,1064.0,,,6307.199868508493,2.3903129422865232
Distrito Federal,Brazil,-15.7998,-47.8645,344364.0,6029.0,321374.0,16961.0,11420.676371055575,1.7507637267542484
Dnipropetrovsk Oblast,Ukraine,48.4647,35.0462,91122.0,2357.0,74436.0,14329.0,2841.8104979390155,2.586642084238713
Donetsk Oblast,Ukraine,48.0159,37.8028,59206.0,1269.0,47347.0,10590.0,1421.205160660323,2.1433638482586224
Drenthe,Netherlands,52.862485,6.618435000000002,26720.0,324.0,0.0,26396.0,5412.390972326315,1.2125748502994012
Durango,Mexico,24.5593,-104.6588,32316.0,2259.0,0.0,30057.0,1729.0566699982237,6.990345339769774
East Flanders,Belgium,51.0362,3.7373,99902.0,0.0,0.0,99902.0,6549.855597916414,0.0
Ehime,Japan,33.624835,132.856842,1367.0,24.0,1053.0,290.0,102.07472287870132,1.7556693489392832
Emilia-Romagna,Italy,44.49436681,11.3417208,335820.0,11917.0,251468.0,72435.0,7530.479471023172,3.548627240783753
England,United Kingdom,52.3555,-1.1743,3800722.0,111489.0,0.0,3689233.0,6789.767976962049,2.933363713526009
Espirito Santo,Brazil,-19.1834,-40.3089,382480.0,7500.0,351496.0,23152.0,9509.113757107489,1.960024912466177
Extremadura,Spain,39.4937,-6.0679,71103.0,1757.0,2652.0,66694.0,6673.681088468065,2.4710631056354866
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,54.0,0.0,54.0,0.0,1550.3875968992247,0.0
Faroe Islands,Denmark,61.8926,-6.9118,661.0,1.0,660.0,0.0,1352.7064360994575,0.151285930408472
Flemish Brabant,Belgium,50.9167,4.5833,68073.0,0.0,0.0,68073.0,5889.467687220496,0.0
Flevoland,Netherlands,52.550383,5.515162,29124.0,225.0,0.0,28899.0,6884.764586155297,0.7725587144622992
Florida,United States,28.940754879104475,-82.70074390925373,30260.808823529413,491.54411764705884,,,9446.799994823981,1.9434013086895892
French Guiana,France,4.0,-53.0,16922.0,89.0,9995.0,6838.0,5665.557348618263,0.5259425599810897
French Polynesia,France,-17.6797,-149.4068,18627.0,141.0,4842.0,13644.0,6631.091048899268,0.7569656949589306
Friesland,Netherlands,53.087337,5.7925,32749.0,445.0,0.0,32304.0,5038.641017790408,1.358820116644783
Friuli Venezia Giulia,Italy,45.6494354,13.76813649,97490.0,3307.0,78986.0,15197.0,8022.415694277579,3.3921427838752694
Fujian,China,26.0789,117.9874,561.0,1.0,550.0,10.0,1.3505027408946626,0.17825311942959
Fukui,Japan,35.846614,136.22465400000002,589.0,25.0,526.0,38.0,76.69900004818103,4.244482173174872
Fukuoka,Japan,33.526032,130.666949,19014.0,332.0,18255.0,427.0,372.5547786214611,1.7460818344377826
Fukushima,Japan,37.378867,140.223295,2499.0,113.0,2110.0,276.0,135.4090637918114,4.521808723489396
Galicia,Spain,42.5751,-8.1339,116522.0,2327.0,9204.0,104991.0,4314.924858569397,1.997047767803505
Gansu,China,35.7518,104.2861,193.0,2.0,186.0,5.0,0.7713881041003035,1.0362694300518134
Gavleborg,Sweden,61.3012,16.1534,27932.0,523.0,0.0,27409.0,9719.467468387023,1.8724044107117288
Gelderland,Netherlands,52.061738,5.939114,140927.0,1894.0,0.0,139033.0,6756.003973245789,1.3439582195037147
Georgia,United States,32.808532144842765,-83.57742992610062,6581.04347826087,118.35403726708074,,,9907.109252573637,2.604353836958445
Gibraltar,United Kingdom,36.1408,-5.3536,4274.0,94.0,4168.0,12.0,12685.880502211274,2.199344875994385
Gifu,Japan,35.778671,137.055925,4841.0,125.0,4690.0,26.0,243.68426854701053,2.58211113406321
Gilgit-Baltistan,Pakistan,35.792146,74.982138,5033.0,103.0,4867.0,63.0,496.5547996022037,2.046493145241407
Goa,India,15.359682,74.057396,58039.0,830.0,55653.0,1556.0,3658.881008668243,1.430072882027602
Goias,Brazil,-15.827,-49.8362,486405.0,11711.0,460845.0,11866.0,6900.60660946997,2.3947521107392182
Gotland,Sweden,57.4684,18.4867,3027.0,46.0,0.0,2981.0,5071.541064906343,1.5196564255037992
Grand Princess,Canada,,,13.0,0.0,13.0,0.0,,0.0
Grand Princess,United States,,,103.0,3.0,,,,2.912621359223301
Greenland,Denmark,71.7069,-42.6043,31.0,0.0,31.0,0.0,54.604382442048895,0.0
Groningen,Netherlands,53.217922,6.741514,30730.0,229.0,0.0,30501.0,5245.226724199732,0.7452001301659616
Guadeloupe,France,16.265,-61.551,11512.0,173.0,2242.0,9097.0,2877.086525028304,1.5027797081306462
Guainia,Colombia,2.5854,-68.5247,1335.0,22.0,1308.0,5.0,2774.6601820675896,1.647940074906367
Guam,United States,13.4443,144.7937,7807.0,134.0,,,4753.728026109883,1.7164083514794417
Guanajuato,Mexico,21.019,-101.2574,127725.0,9959.0,0.0,117766.0,2050.7612583140326,7.797220591113721
Guangdong,China,23.3417,113.4244,2282.0,8.0,2235.0,39.0,1.8109313115023264,0.35056967572305
Guangxi,China,23.8298,108.7881,267.0,2.0,265.0,0.0,0.5326491591205376,0.7490636704119851
Guaviare,Colombia,1.0654,-73.2603,2299.0,40.0,2251.0,8.0,2777.6770935276136,1.739886907351022
Guerrero,Mexico,17.4392,-99.5451,37696.0,4083.0,0.0,33613.0,1030.776735771584,10.831387945670627
Guizhou,China,26.8154,106.8748,147.0,2.0,145.0,0.0,0.3812028313360552,1.3605442176870748
Gujarat,India,22.694884,71.590923,307698.0,4519.0,290569.0,12610.0,481.7385988586401,1.4686478300151449
Gunma,Japan,36.504479,138.985605,5007.0,99.0,4710.0,198.0,257.76645648601567,1.977231875374476
Hainan,China,19.1959,109.7453,171.0,6.0,165.0,0.0,1.696221255497344,3.508771929824561
Hainaut,Belgium,50.5257,4.0621,131194.0,0.0,0.0,131194.0,9740.874936889311,0.0
Halland,Sweden,56.8967,12.8034,31823.0,290.0,0.0,31533.0,9532.182310512568,0.9112905759984916
Hamburg,Germany,53.5511,9.9937,61268.0,1382.0,53370.0,6516.0,3307.353717561018,2.255663641705295
Haryana,India,29.20004,76.332824,290800.0,3155.0,277919.0,9726.0,1031.0341272296114,1.0849381017881703
Hawaii,United States,20.99064747,-157.41445579999998,5125.666666666667,77.16666666666667,,,1519.5624391753115,1.1196620918517928
Hebei,China,37.8957,114.9042,1317.0,7.0,1310.0,0.0,1.7651733706508228,0.5315110098709187
Heilongjiang,China,47.862,127.7615,1610.0,13.0,1597.0,0.0,5.054931088416459,0.8074534161490683
Henan,China,33.882,113.614,1311.0,22.0,1283.0,6.0,1.3193711593253994,1.6781083142639206
Hessen,Germany,50.6521,9.1624,219484.0,6338.0,194800.0,18346.0,3487.662942937675,2.887682017823623
Hidalgo,Mexico,20.0911,-98.7624,36661.0,5852.0,0.0,30809.0,1187.8186140938967,15.962466926706854
Himachal Pradesh,India,31.927213,77.233081,63605.0,1048.0,59584.0,2973.0,853.5344080848582,1.6476692083955664
Hiroshima,Japan,34.605309000000005,132.788719,5172.0,106.0,4961.0,105.0,184.4391420370397,2.0494972931167825
Hokkaido,Japan,43.385711,142.552318,20994.0,749.0,19413.0,832.0,399.88198205388176,3.5676860055253883
Hong Kong,China,22.3,114.2,11467.0,205.0,11095.0,167.0,152.95475996493525,1.7877387285253337
Huancavelica,Peru,-13.023888,-75.00277,10801.0,737.0,0.0,10064.0,2956.7478784560635,6.823442273863531
Huanuco,Peru,-9.421676,-76.040642,26786.0,1967.0,0.0,24819.0,3523.082993555176,7.34338833719107
Hubei,China,30.9756,112.2707,68152.0,4512.0,63639.0,1.0,118.00689621413646,6.620495363305552
Huila,Colombia,2.5359,-75.5277,50915.0,1791.0,48765.0,359.0,4627.012702815194,3.5176274182460965
Hunan,China,27.6104,111.7088,1042.0,4.0,1033.0,5.0,1.5682175224258117,0.3838771593090211
Hyogo,Japan,35.039913,134.828057,20058.0,591.0,18014.0,1453.0,366.94663010250287,2.946455279688902
Ibaraki,Japan,36.303588,140.319591,6740.0,127.0,6264.0,349.0,235.63904154344272,1.8842729970326408
Ica,Peru,-14.235097,-75.574821,44464.0,5924.0,0.0,38540.0,4559.474979491386,13.323137819359482
Idaho,United States,44.26340125840909,-114.46012491818182,4011.911111111111,43.6,,,8883.50902018242,1.2192811896196512
Illinois,United States,39.84361770127451,-89.17833006960784,11967.163461538461,226.72115384615384,,,10584.064321207843,27.172006393365717
